web-scraper-order,web-scraper-start-url,GameLink,GameLink-href,GameHeading,GameLogo-src,GameDescription,GameImage1-src,GameFeature1,GameFeature1Text,GameFeature2,GameFeature2Text,GameFeature3,GameFeature3Text,GameFeature4,GameFeature4text,GameFeature5,GameFeature5Text
"1764651849-29","https://www.aristocratgaming.com/us/where-to-play","Lucky Looters","https://www.aristocratgaming.com/us/slots/game-groups/lucky-looters","Lucky Looters","","","","","","","","","","","","",""
"1764651853-30","https://www.aristocratgaming.com/us/where-to-play","Lightning Link","https://www.aristocratgaming.com/us/slots/game-groups/lightning-link","Lightning Link","","","","","","","","","","","","",""
"1764651858-31","https://www.aristocratgaming.com/us/where-to-play","Leprechauns","https://www.aristocratgaming.com/us/slots/games/leprechauns","Follow the pig to the pot o' gold","/_product-assets/games-assets/leprechauns/leprechauns_gt_logo.png","No pinching needed here - Lucky Looters™ Leprechaun™ has it all to entertain you! Pig symbols dressed in green trigger rewards when they appear on the reels you spin: Get Cash-on-Reel values on reels 2-4 when a Pig symbol appears on reel 1 & 5; and Loot Spins can be triggered when a Pig lands on reel 1 or 5, which can award free games!","/_product-assets/games-assets/leprechauns/leprechauns_gt_in-cabinet-image.png","LOOT SPINS","Metamorphically triggered by landing at least 1 Pig symbol, the Loot Spins awards free games depending on which pot is triggered. The Pig symbol(s) locks in place for the duration of the free games and Cash-on-Reel values are awarded for each pig on reels 1 and 5","BASE GAME CASH-ON-REELS","Players are awarded Cash-on-Reel values for each Pig symbol that lands","","","","","",""
"1764651862-32","https://www.aristocratgaming.com/us/where-to-play","Kismet Kat","https://www.aristocratgaming.com/us/slots/games/kismet-kat","This kat has a way with whimsy","/_product-assets/games-assets/kismet-kat/kismet-kat_gt_logo.png","Kismet Kat™ knows how to wheel and deal for a fortune of entertaining time. Let Kismet Kat help connect with Bonuses and Respins for bigger wins and better play. What is meant to be begins with one Kool Kat.","/_product-assets/games-assets/kismet-kat/kismet-kat_gt_in-cabinet-image-front.png","WHEEL BOOST","Metamorphically triggered, players pick bonuses to increase the values on wheel wedges before spinning the wheel","EXTRA POINTERS","Match 3 pick bonus to determine if the wheel will spin with active pointers. More pointers equate to more wins per spin","KASH RESPINS","Players Spin the Wheel to determine number of spins they will play during the feature. During feature, Cash-on-Reel qualifier is locked on reel 1, with only Cash-on-Reels symbols paying. All wins multiplied by a random multiplier, varying by spin","","","",""
"1764651867-33","https://www.aristocratgaming.com/us/where-to-play","Karma Kat","https://www.aristocratgaming.com/us/slots/games/karma-kat","The Kat’s out of the bag and a blast!","/_product-assets/games-assets/karma-kat/karma-kat_gt_logo.png","Karma Kat™ offers a magic wheel that brings delight. Play with Karma Kat to find fortune with a spin of the wheel and an enchanting feel. Let your gameplay cast a pleasurable spell on time well spent.","/_product-assets/games-assets/kismet-kat/kismet-kat_gt_in-cabinet-image-front.png","WHEEL BOOST","Metamorphically triggered, players pick bonuses to increase the values on wheel wedges before spinning the wheel","EXTRA POINTERS","Match 3 pick bonus to determine if the wheel will spin with active pointers. More pointers equate to more wins per spin","KASH RESPINS","Players Spin the Wheel to determine number of spins they will play during the feature. During feature, Cash-on-Reel qualifier is locked on reel 1, with only Cash-on-Reels symbols paying. All wins multiplied by a random multiplier, varying by spin","","","",""
"1764651871-34","https://www.aristocratgaming.com/us/where-to-play","Ju Cai Jin Gui - Dragon","https://www.aristocratgaming.com/us/slots/games/ju-cai-jin-gui-dragon","Coins of all colors, bonuses of all kinds!","/_product-assets/games-assets/ju-cai-jin-gui-dragon/ju-cai-jin-gui-dragon_gt_logo.png","Ju Cai Jin Gui™ Dragon™ is the game that oozes joy in every colorful coin and symbol onscreen. Building on the legacy of the popular Fu Dai Lian Lian franchise, this game can be found on the new Baron Upright cabinet and has four metamorphics in play. Each of the coins trigger a different kind of free games, making each opportunity more exciting. And exclusive to this title is the popular Cash-on-Reels feature to best suit the kind of game players are looking for!","/_product-assets/games-assets/ju-cai-jin-gui-dragon/ju-cai-jin-gui-dragon_gt_in-cabinet-image-front.png","JACKPOT FEATURE","Metamorphically triggered by any red coin. Free games with landed coins providing credits or letters to spell out jackpot names. Collecting all letters for a jackpot awards that prize","STICKY WILDS","Metamorphically triggered by any purple coin. 8 free games with permanent sticky wilds. Landing more than one wild in the same space adds a multiplier","SYMBOL UPGRADES","Metamorphically triggered by any green coin. Free games with landed coins awarding credits or upgrading major reel symbols to the top symbol for the remainder of the free games bonus","DOUBLE WINDOW","Metamorphically triggered by any blue coin. Free games played on two reel matrices rather than 1","",""
"1764651876-35","https://www.aristocratgaming.com/us/where-to-play","Jackpot Carnival Power of 88","https://www.aristocratgaming.com/us/slots/games/jackpot-carnival-power-of-88","88 is the magic number","/_product-assets/games-assets/jackpot-carnival-power-of-88/jackpot-carnival-power88_gt_logo.png","Step right up onto excitement’s biggest stage and let the Power of 88™ lead you towards the carnival’s most desired prizes: ascending up the multiplier charts and free games with big stacks of reveal symbols.","/_product-assets/games-assets/jackpot-carnival-timber-wolf/jackpot-carnival-timber-wolf_gt_in-cabinet-image-front.png","CLOWN FEATURE","Drop bonus balls to win credits and multipliers","HAMMER FEATURE","Hammer credit prizes up the multiplier chart","JACKPOT CARNIVAL BONUS","Connect bonus symbols across from left to right","","","",""
"1764651881-36","https://www.aristocratgaming.com/us/where-to-play","Jackpot Carnival Buffalo","https://www.aristocratgaming.com/us/slots/games/jackpot-carnival-buffalo","Charge up your wins","/_product-assets/games-assets/jackpot-carnival-buffalo/jackpot-carnival-buffalo_gt_logo.png","At this carnival, the stampede’s only just begun taking Buffalo to a whole new level. Thunderous wins await as the Clown feature returns from the original, as well as free games with enough multipliers to make it a grand stamp!","/_product-assets/games-assets/jackpot-carnival-buffalo/jackpot-carnival-buffalo_gt_in-cabinet-image-front.png","CLOWN FEATURE","Drop bonus balls to win credits and multipliers","HAMMER FEATURE","Hammer credit prizes up the multiplier chart","JACKPOT CARNIVAL BONUS","Connect bonus symbols across from left to right","","","",""
"1764651885-37","https://www.aristocratgaming.com/us/where-to-play","Jackpot Carnival","https://www.aristocratgaming.com/us/slots/game-groups/jackpot-carnival","Jackpot Carnival","","","","","","","","","","","","",""
"1764651890-38","https://www.aristocratgaming.com/us/where-to-play","House of the Dragon","https://www.aristocratgaming.com/us/slots/games/house-of-the-dragon","Gain the dragons, unite the house","/_product-assets/games-assets/house-of-the-dragon/house-of-the-dragon_gt_logo.png","Soar into Westeros on dragon’s wing with clips, sound, and graphics from the blockbuster HBO series. You’ll gather dragon eggs that trigger individually, in multiples, or all at once to ignite fiery bonuses! Active eggs have the chance to reappear during the Hold & Spin bonus.","/_product-assets/games-assets/house-of-the-dragon/house-of-the-dragon3_gt_in-cabinet-image.png","GOLD EGG FEATURE","Golden eggs will trigger all 5 metamorphics simultaneously","BOOST PRIZE FEATURE","Randomly boosts collected credit prizes","AWARD ALL FEATURE","Combines all currently collected credit prizes onto one Cash-on-Reel position","MEGA PRIZE FEATURE","Will increase the credit prize a random number of times, including jackpot prize","DOUBLE ALL FEATURE","Multiplies all collected credit prizes by 2x"
